,teamId,playerId,playerName,min,xg,xgot,eventType,team_color,match_id,isOwnGoal,x,y,situation,teamName
8720,9879,94086,Willian,70,0.06085392088,0.3723,Goal,#000000,3901274,FALSE,81.8092233,37.5075,RegularPlay,Fulham
8721,8197,493165,James Maddison,72,0.05338628963,NA,Miss,#0d47a1,3901274,FALSE,78.31796117,29.7997619,FreeKick,Leicester City
8722,8197,1039534,Tete,75,0.05371077359,NA,Miss,#0d47a1,3901274,FALSE,91.7,25.3603125,RegularPlay,Leicester City
8723,8197,493165,James Maddison,81,0.7884,0.9738,Goal,#0d47a1,3901274,FALSE,94,34,Penalty,Leicester City
8724,9879,556972,Sasa Lukic,85,0.02342336252,NA,AttemptSaved,#000000,3901274,FALSE,82.93543689,23.50878981,SetPiece,Fulham
8725,9879,683402,Tosin Adarabioyo,86,0.114519082,NA,Miss,#000000,3901274,FALSE,94.38596491,31.4075,SetPiece,Fulham
8726,9879,174325,Shane Duffy,86,0.1558764726,NA,Miss,#000000,3901274,FALSE,100.2586207,40.97380952,SetPiece,Fulham
8727,8197,760359,Harvey Barnes,89,0.1759736836,0.799,Goal,#0d47a1,3901274,FALSE,98.43859649,31.4075,RegularPlay,Leicester City
8728,8668,352887,Abdoulaye Doucouré,1,0.3147171736,0.7087,Goal,#00019E,3901273,FALSE,98.63157895,36.05875,RegularPlay,Everton
8729,10204,113836,Danny Welbeck,4,0.1648984998,NA,Miss,#0850A0,3901273,FALSE,96.31578947,32.6275,RegularPlay,Brighton & Hove Albion
8730,10204,167008,Pascal Gross,13,0.03764766827,NA,Miss,#0850A0,3901273,FALSE,83.49854369,20.49605096,RegularPlay,Brighton & Hove Albion
8731,10204,831489,Alexis Mac Allister,14,0.0717811957,NA,AttemptSaved,#0850A0,3901273,FALSE,94.28947368,40.80571429,RegularPlay,Brighton & Hove Albion
8732,8668,612150,Dominic Calvert-Lewin,16,0.04523681849,NA,Miss,#00019E,3901273,FALSE,86.99705882,28.79119048,RegularPlay,Everton
8733,8668,939542,Dwight McNeil,24,0.03753813729,NA,AttemptSaved,#00019E,3901273,FALSE,91.4,44.98165605,RegularPlay,Everton
8734,8668,179410,Idrissa Gana Gueye,24,0.02857301012,NA,AttemptSaved,#00019E,3901273,FALSE,88.6,23.01834395,FromCorner,Everton
8735,8668,939542,Dwight McNeil,25,0.1833889782,NA,AttemptSaved,#00019E,3901273,FALSE,94.28947368,30.4925,RegularPlay,Everton
8736,8668,352887,Abdoulaye Doucouré,29,0.1741229147,0.6255,Goal,#00019E,3901273,FALSE,94.28947368,24.48968153,FastBreak,Everton
8737,10204,107917,Jason Steele,35,NA,NA,Goal,#0850A0,3901273,TRUE,2.465517241,31.7125,RegularPlay,Brighton & Hove Albion
8738,8668,950474,James Garner,45,0.4069882035,NA,AttemptSaved,#00019E,3901273,FALSE,96.99122807,36.2875,FastBreak,Everton
8739,10204,1068482,Evan Ferguson,48,0.06996879727,NA,AttemptSaved,#0850A0,3901273,FALSE,91,37.5075,RegularPlay,Brighton & Hove Albion
8740,10204,416850,Solly March,48,0.114595212,0.1776,AttemptSaved,#0850A0,3901273,FALSE,95.35087719,21.1966879,RegularPlay,Brighton & Hove Albion
8741,10204,167008,Pascal Gross,55,0.06934265047,NA,AttemptSaved,#0850A0,3901273,FALSE,92.4,28.20285714,RegularPlay,Brighton & Hove Albion
8742,10204,1096400,Levi Colwill,61,0.2138600796,NA,AttemptSaved,#0850A0,3901273,FALSE,100.637931,32.39875,FromCorner,Brighton & Hove Albion
8743,10204,416850,Solly March,63,0.0423290953,NA,AttemptSaved,#0850A0,3901273,FALSE,92,20.91643312,RegularPlay,Brighton & Hove Albion
8744,10204,1068482,Evan Ferguson,65,0.05188088492,0.1749,AttemptSaved,#0850A0,3901273,FALSE,92.1,46.66318471,RegularPlay,Brighton & Hove Albion
8745,10204,831489,Alexis Mac Allister,66,0.169984892,NA,Post,#0850A0,3901273,FALSE,98.92105263,30.13595238,FromCorner,Brighton & Hove Albion
8746,10204,201690,Lewis Dunk,67,0.06118818372,NA,Miss,#0850A0,3901273,FALSE,96.4122807,37.94809524,RegularPlay,Brighton & Hove Albion
8747,10204,688278,Pervis Estupinán,68,0.03566488624,NA,AttemptSaved,#0850A0,3901273,FALSE,94.38596491,46.38292993,RegularPlay,Brighton & Hove Albion
8748,8668,243138,James Tarkowski,74,0.01620901376,0.1044,AttemptSaved,#00019E,3901273,FALSE,95.83333333,44.3510828,SetPiece,Everton
8749,10204,831489,Alexis Mac Allister,75,0.03353090584,0.1656,AttemptSaved,#0850A0,3901273,FALSE,95.35087719,30.316,FromCorner,Brighton & Hove Albion
8750,8668,939542,Dwight McNeil,76,0.9804279208,0.9807,Goal,#00019E,3901273,FALSE,103.6724138,33.31375,FastBreak,Everton
8751,10204,862608,Kaoru Mitoma,79,0.2525807619,NA,Post,#0850A0,3901273,FALSE,102.1551724,37.86404762,RegularPlay,Brighton & Hove Albion
8752,10204,831489,Alexis Mac Allister,79,0.8500016928,0.9589,Goal,#0850A0,3901273,FALSE,102.8189655,34.68625,RegularPlay,Brighton & Hove Albion
8753,10204,1137668,Moisés Caicedo,82,0.04863478988,NA,AttemptSaved,#0850A0,3901273,FALSE,82.93543689,30.256,RegularPlay,Brighton & Hove Albion
8754,10204,862608,Kaoru Mitoma,83,0.04995910078,NA,Miss,#0850A0,3901273,FALSE,98.24561403,44.2810191,FromCorner,Brighton & Hove Albion
8755,10204,1096400,Levi Colwill,83,0.3735817671,NA,Miss,#0850A0,3901273,FALSE,103.2931034,31.1025,FromCorner,Brighton & Hove Albion
8756,10204,942549,Billy Gilmour,85,0.03867178783,NA,AttemptSaved,#0850A0,3901273,FALSE,82.03446602,30.304,RegularPlay,Brighton & Hove Albion
8757,10204,1068482,Evan Ferguson,88,0.4587081969,0.9556,AttemptSaved,#0850A0,3901273,FALSE,98.24561403,32.475,RegularPlay,Brighton & Hove Albion
8758,10204,942549,Billy Gilmour,89,0.05676504225,NA,AttemptSaved,#0850A0,3901273,FALSE,86.88970588,30.95,FromCorner,Brighton & Hove Albion
8759,10204,1137668,Moisés Caicedo,90,0.07254312932,NA,Miss,#0850A0,3901273,FALSE,86.46029412,31.255,RegularPlay,Brighton & Hove Albion
8760,10204,1096400,Levi Colwill,90,0.1396853328,NA,Miss,#0850A0,3901273,FALSE,98.92105263,31.7125,FromCorner,Brighton & Hove Albion
8761,8668,939542,Dwight McNeil,90,0.09058704972,0.3741,Goal,#00019E,3901273,FALSE,95.92982456,46.24280254,FastBreak,Everton
8762,8466,599353,Che Adams,2,0.01857493818,NA,Miss,#d71920,3901278,FALSE,86.99705882,49.74598726,RegularPlay,Southampton
8763,8466,599353,Che Adams,7,0.132693097,NA,AttemptSaved,#d71920,3901278,FALSE,91.8,39.37690476,RegularPlay,Southampton
8764,10203,1076756,Brennan Johnson,10,0.05572684854,NA,Miss,#aa001a,3901278,FALSE,93.7,20.0056051,FastBreak,Nottingham Forest
8765,10203,643717,Taiwo Awoniyi,18,0.07987248898,0.1088,Goal,#aa001a,3901278,FALSE,93.1,32.9325,RegularPlay,Nottingham Forest
8766,8466,1128965,Carlos Alcaraz,19,0.1103878915,NA,Miss,#d71920,3901278,FALSE,87.10441176,37.732,RegularPlay,Southampton
8767,10203,1181700,Danilo,21,0.03431674093,NA,Miss,#aa001a,3901278,FALSE,87.10441176,38.70452381,RegularPlay,Nottingham Forest
8768,10203,643717,Taiwo Awoniyi,21,0.1127352193,0.0852,Goal,#aa001a,3901278,FALSE,96.4122807,31.865,RegularPlay,Nottingham Forest
8769,8466,237563,Stuart Armstrong,23,0.1146558598,NA,AttemptSaved,#d71920,3901278,FALSE,97.95614035,44.49121019,RegularPlay,Southampton
8770,8466,31013,Theo Walcott,24,0.04381107911,NA,Miss,#d71920,3901278,FALSE,102.0603448,42.9865625,FromCorner,Southampton
8771,8466,1128965,Carlos Alcaraz,25,0.3936630189,0.7498,Goal,#d71920,3901278,FALSE,97.95614035,30.304,FastBreak,Southampton
8772,10203,643717,Taiwo Awoniyi,27,0.1448368579,NA,Miss,#aa001a,3901278,FALSE,96.89473684,32.3225,RegularPlay,Nottingham Forest
8773,10203,775614,Ryan Yates,33,0.0571772866,NA,AttemptSaved,#aa001a,3901278,FALSE,92.2,22.4578344,FastBreak,Nottingham Forest
8774,8466,1190867,Romeo Lavia,41,0.0171598848,NA,AttemptSaved,#d71920,3901278,FALSE,77.41699029,23.29859873,RegularPlay,Southampton
8775,10203,789502,Morgan Gibbs-White,44,0.7884,0.8383,Goal,#aa001a,3901278,FALSE,94,34,Penalty,Nottingham Forest
8776,8466,599353,Che Adams,48,0.1938224137,NA,Miss,#d71920,3901278,FALSE,97.37719298,34.53375,SetPiece,Southampton
8777,8466,654045,Lyanco,51,0.2301001847,0.603,Goal,#d71920,3901278,FALSE,100.637931,33.085,FromCorner,Southampton
8778,8466,599353,Che Adams,53,0.07808837295,NA,Miss,#d71920,3901278,FALSE,93.3,37.672,RegularPlay,Southampton
8779,8466,654045,Lyanco,68,0.01649237424,NA,Miss,#d71920,3901278,FALSE,93.7,40.55357143,FromCorner,Southampton
8780,8466,599353,Che Adams,68,0.2600160539,NA,AttemptSaved,#d71920,3901278,FALSE,101.3965517,31.1025,FromCorner,Southampton
8781,10203,1181700,Danilo,73,0.4129226506,0.3879,Goal,#aa001a,3901278,FALSE,95.92982456,37.58375,RegularPlay,Nottingham Forest
8782,10203,789502,Morgan Gibbs-White,77,0.1155487448,NA,AttemptSaved,#aa001a,3901278,FALSE,91.8,34.38125,ThrowInSetPiece,Nottingham Forest
8783,8466,654045,Lyanco,79,0.0295700077,NA,Miss,#d71920,3901278,FALSE,98.43859649,24.69987262,FromCorner,Southampton
8784,8466,1130691,Kamaldeen Sulemana,86,0.02941920795,0.2355,AttemptSaved,#d71920,3901278,FALSE,84.62475728,51.21732484,RegularPlay,Southampton
8785,8466,519835,Adam Armstrong,86,0.1073376238,NA,Miss,#d71920,3901278,FALSE,97.57017544,45.68229299,RegularPlay,Southampton
8786,8466,412357,Paul Onuachu,86,0.6006810665,NA,Miss,#d71920,3901278,FALSE,100.3534483,37.94809524,RegularPlay,Southampton
8787,8466,279490,James Ward-Prowse,90,0.04166948423,0.284,AttemptSaved,#d71920,3901278,FALSE,96.70175439,44.77146496,FromCorner,Southampton
8788,8466,279490,James Ward-Prowse,90,0.7884,0.8471,Goal,#d71920,3901278,FALSE,94,34,Penalty,Southampton
8789,8466,412357,Paul Onuachu,90,0.05515129864,NA,AttemptSaved,#d71920,3901278,FALSE,92.9,39.79714286,RegularPlay,Southampton
8790,10261,535936,Joelinton,3,0.03800652549,NA,Miss,#000000,3901288,FALSE,80.11990291,26.111875,RegularPlay,Newcastle United
8791,8463,193869,Rodrigo,7,0.2137323469,0.1618,AttemptSaved,#0060A0,3901288,FALSE,96.60526316,33.46625,RegularPlay,Leeds United
8792,8463,190666,Luke Ayling,7,0.8206545115,0.9793,Goal,#0060A0,3901288,FALSE,102.8189655,31.865,RegularPlay,Leeds United
8793,10261,184321,Callum Wilson,11,0.05719500408,0.1261,AttemptSaved,#000000,3901288,FALSE,100.1637931,45.5421656,RegularPlay,Newcastle United
8794,10261,442277,Miguel Almiron,15,0.02829584479,NA,Miss,#000000,3901288,FALSE,99.01754386,48.20458598,RegularPlay,Newcastle United
8795,10261,690107,Alexander Isak,21,0.05098191649,NA,AttemptSaved,#000000,3901288,FALSE,88.07058824,37.768,RegularPlay,Newcastle United
8796,8463,302241,Patrick Bamford,28,0.7884,0.9862,AttemptSaved,#0060A0,3901288,FALSE,94,34,Penalty,Leeds United
8797,10261,184321,Callum Wilson,31,0.7884,0.9946,Goal,#000000,3901288,FALSE,94,34,Penalty,Newcastle United
8798,10261,188058,Daniel Burn,34,0.0351703167,NA,Miss,#000000,3901288,FALSE,80.57038835,37.72,RegularPlay,Newcastle United
8799,10261,189982,Fabian Schär,38,0.1338112652,NA,Miss,#000000,3901288,FALSE,98.92105263,36.745,FromCorner,Newcastle United
8800,8463,1049805,Sam Greenwood,44,0.08132731169,NA,Miss,#0060A0,3901288,FALSE,85.60147059,28.28690476,RegularPlay,Leeds United
8801,10261,442277,Miguel Almiron,45,0.04852171987,NA,Miss,#000000,3901288,FALSE,92.5,17.4833121,RegularPlay,Newcastle United
8802,10261,535936,Joelinton,48,0.01389579196,NA,Miss,#000000,3901288,FALSE,100.637931,47.50394904,SetPiece,Newcastle United
8803,10261,184321,Callum Wilson,51,0.0501188077,NA,AttemptSaved,#000000,3901288,FALSE,89.5,32.70375,RegularPlay,Newcastle United
8804,10261,184321,Callum Wilson,52,0.07462437451,NA,Miss,#000000,3901288,FALSE,97.0877193,35.14375,FromCorner,Newcastle United
8805,10261,189982,Fabian Schär,56,0.08495435119,NA,AttemptSaved,#000000,3901288,FALSE,97.37719298,34.7625,FromCorner,Newcastle United
8806,10261,189982,Fabian Schär,56,0.04881241545,NA,AttemptSaved,#000000,3901288,FALSE,96.02631579,46.87337579,FromCorner,Newcastle United
8807,8463,302241,Patrick Bamford,56,0.03986474872,NA,AttemptSaved,#0060A0,3901288,FALSE,91.6,43.44025477,RegularPlay,Leeds United
8808,8463,848266,Weston McKennie,63,0.1054623425,NA,Miss,#0060A0,3901288,FALSE,92.2,36.2875,RegularPlay,Leeds United
8809,10261,184321,Callum Wilson,69,0.7884,0.9386,Goal,#000000,3901288,FALSE,94,34,Penalty,Newcastle United
8810,10261,860975,Joseph Willock,71,0.01511995308,NA,AttemptSaved,#000000,3901288,FALSE,86.24558823,52.75872611,RegularPlay,Newcastle United
8811,8463,302241,Patrick Bamford,79,0.06155704334,NA,AttemptSaved,#0060A0,3901288,FALSE,95.92982456,29.46357143,FromCorner,Leeds United
8812,8463,722207,Rasmus Kristensen,79,0.03248719126,0.0596,Goal,#0060A0,3901288,FALSE,89,22.31770701,FromCorner,Leeds United
8813,8463,302241,Patrick Bamford,81,0.08937867731,NA,Miss,#0060A0,3901288,FALSE,97.37719298,40.55357143,SetPiece,Leeds United
8814,10261,466482,Allan Saint-Maximin,86,0.03432744369,0.0208,AttemptSaved,#000000,3901288,FALSE,91.2,48.69503184,RegularPlay,Newcastle United
8815,10261,191869,Kieran Trippier,90,0.09006422758,NA,AttemptSaved,#000000,3901288,FALSE,85.70882353,25.2446875,FreeKick,Newcastle United
8816,10261,189982,Fabian Schär,90,0.03759652749,0.0121,AttemptSaved,#000000,3901288,FALSE,82.03446602,37.744,RegularPlay,Newcastle United
8817,10252,1021929,Jacob Ramsey,8,0.1504136473,0.9123,Goal,#73103c,3901283,FALSE,97.0877193,30.328,RegularPlay,Aston Villa
